Time (seconds),X-Force,Y-Force,Z-Force,AbsoluteForce
26.52,128,64,-976,986
26.54,128,64,-976,986
26.57,112,64,-960,968
26.59,96,48,-976,981
26.61,96,32,-976,981
26.66,128,48,-976,985
26.68,96,48,-976,981
26.71,128,48,-992,1001
26.73,128,64,-992,1002
26.75,128,64,-960,970
26.78,112,64,-992,1000
26.80,96,48,-992,997
26.83,128,64,-976,986
26.85,112,64,-976,984
26.87,128,48,-976,985
26.90,128,64,-976,986
26.92,128,64,-960,970
26.97,128,48,-976,985
26.99,112,48,-976,983
27.01,128,48,-960,969
27.04,128,48,-976,985
27.06,128,80,-976,987
27.09,112,48,-976,983
27.11,112,48,-976,983
27.14,112,48,-960,967
27.16,112,48,-976,983
27.19,96,64,-992,998
27.21,112,48,-976,983
27.25,128,48,-976,985
27.28,128,64,-960,970
27.30,112,80,-976,985
27.33,112,64,-976,984
27.35,112,48,-976,983
27.37,112,64,-944,952
27.40,96,32,-976,981
27.42,112,48,-976,983
27.45,96,80,-976,983
27.47,112,64,-960,968
27.49,112,32,-992,998
27.52,112,48,-976,983
27.56,112,32,-992,998
27.59,112,48,-976,983
27.61,96,64,-976,982
27.63,112,48,-976,983
27.66,96,32,-992,997
27.68,112,48,-960,967
27.71,96,48,-992,997
27.73,128,32,-976,984
27.76,128,48,-976,985
27.78,128,80,-960,971
27.81,128,64,-976,986
27.83,128,64,-992,1002
27.87,112,64,-976,984
27.90,112,48,-976,983
27.92,112,48,-960,967
27.95,112,64,-960,968
27.97,112,48,-976,983
27.99,128,48,-992,1001
28.02,112,64,-992,1000
28.04,112,48,-992,999
28.07,112,64,-960,968
28.09,128,48,-976,985
28.11,96,48,-960,965
28.16,96,48,-976,981
28.18,112,48,-960,967
28.21,96,48,-976,981
28.23,96,48,-960,965
28.25,128,48,-976,985
28.28,128,64,-976,986
